ticker,Nama,Jabatan,Afiliasi
KDSI,Permadi Al Suharto,PRESIDEN DIREKTUR,True
KEEN,Henry Maknawi,DIREKTUR UTAMA,True
KEJU,Sandjaya Rusli,DIREKTUR UTAMA,True
KIAS,Anusorn Potchanabanpot,DIREKTUR UTAMA,False
KICI,Ir. Ratna Setyakusuma,PRESIDEN DIREKTUR,True
KIJA,TEDJO BUDIANTO LIMAN,DIREKTUR UTAMA,False
KINO,Harry Sanusi,PRESIDEN DIREKTUR,True
KIOS,Reginald Trisna,DIREKTUR UTAMA,True
KJEN,Dewi Prasetyaningsih,DIREKTUR UTAMA,False
KKGI,Pintarso Adijanto,DIREKTUR UTAMA,True
KLBF,Vidjongtius,PRESIDEN DIREKTUR,True
KMDS,Hengky Wijaya,DIREKTUR UTAMA,True
KMTR,Martinus Subandi Sinarya,DIREKTUR UTAMA,True
KOBX,Humas Soputro,Direktur Utama,False
KOIN,Wichai Pokinwong,DIREKTUR UTAMA,True
KONI,SUGIANTO KOLIM,PRESIDEN DIREKTUR,False
KOPI,Ivo Wongkaren,DIREKTUR UTAMA,False
KOTA,Mohamad Prapanca,DIREKTUR UTAMA,True
KPAL,Rudy Kurniawan Logam,DIREKTUR UTAMA,True
KPAS,Marting Djapar,DIREKTUR UTAMA,True
KPIG,Hary Tanoesoedibjo,DIREKTUR UTAMA,False
KRAH,JOHANES BUDI KARTIKA,DIREKTUR UTAMA,True
KRAS,Silmy Karim,DIREKTUR UTAMA,False
KREN,Michael Steven,DIREKTUR UTAMA,True
LAND,Suryadi,DIREKTUR UTAMA,False
LAPD,Risming Andyanto,DIREKTUR UTAMA,True
LCGP,"Dr. Ir. Lukman Purnomosidi, MBA",DIREKTUR UTAMA,True
LCKM,Lim Kah Hock,DIREKTUR UTAMA,True
LEAD,Eddy Kurniawan Logam,PRESIDEN DIREKTUR,False
LIFE,Wianto,DIREKTUR UTAMA,True
LINK,Marlo Budiman,PRESIDEN DIREKTUR,True
LION,Cheng Yong Kim,DIREKTUR UTAMA,False
LMAS,Ibin Bachtiar,DIREKTUR UTAMA,True
LMPI,Hidayat Alim,DIREKTUR UTAMA,False
LMSH,Tjoe Tjoe Peng (Lawer Supendi),DIREKTUR UTAMA,False
LPCK,Sie Subiyanto,PRESIDEN DIREKTUR,True
LPGI,Agus Benjamin,PRESIDEN DIREKTUR,True
LPIN,Eddy Harsono Handoko,PRESIDEN DIREKTUR,True
LPKR,Ketut Budi Wijaya,PRESIDEN DIREKTUR,True
LPLI,Lukman Djaja,PRESIDEN DIREKTUR,True
LPPF,Bunjamin Jonatan Mailool,PRESIDEN DIREKTUR,True
LPPS,Rizal Paramarta,PRESIDEN DIREKTUR,True
LRNA,Soerbakti Gusti Terkelin,PRESIDEN DIREKTUR,False
LSIP,Benny (Benny Tjoeng),PRESIDEN DIREKTUR,False
LTLS,Indrawan Masrin,PRESIDEN DIREKTUR,True
LUCK,Josephine Handayani Hidajat,DIREKTUR UTAMA,False
MABA,Adrian Bramantyo,DIREKTUR UTAMA,False
MAGP,Petrus Tjandra,DIREKTUR UTAMA,True
MAIN,TAN SRI LAU TUANG NGUANG,PRESIDEN DIREKTUR,True
MAMI,Djaja Santoso,DIREKTUR UTAMA,True
MAPA,Michael David Capper,DIREKTUR UTAMA,True
MAPB,Anthony Cottan,DIREKTUR UTAMA,True
MAPI,H.B.L. Mantiri,PRESIDEN DIREKTUR,False
MARI,Adrian Syarkawie,DIREKTUR UTAMA,True
MARK,RIDWAN,PRESIDEN DIREKTUR,True
MASA,Steven Gommert Vette,PRESIDEN DIREKTUR,True
MAYA,Hariyono Tjahjarijadi,DIREKTUR UTAMA,False
MBAP,WIDADA,DIREKTUR UTAMA,True
MBSS,Carla Susana Iria Germino,DIREKTUR UTAMA,True
MBTO,Bryan David Emil,DIREKTUR UTAMA,False
MCAS,Martin Suharlie,DIREKTUR UTAMA,True
MCOR,You Wennan,DIREKTUR UTAMA,False
MDIA,Arief Yahya,DIREKTUR UTAMA,True
MDKA,Tri Boewono,PRESIDEN DIREKTUR,True
MDKI,Hiskak Secakusuma,DIREKTUR UTAMA,True
MDLN,William Honoris,DIREKTUR UTAMA,False
MDRN,Sungkono Honoris,DIREKTUR UTAMA,True
MEDC,Hilmi Panigoro,DIREKTUR UTAMA,True
MEGA,Kostaman Thayib,DIREKTUR UTAMA,True
MERK,Evie Yulin,PRESIDEN DIREKTUR,True
META,Muhammad Ramdani Basri ,DIREKTUR UTAMA,True
MFIN,Harryjanto Lasmana,DIREKTUR UTAMA,True
MFMI,Sylvia Lestariwati F K,PRESIDEN DIREKTUR,True
MGNA,Susilowati,DIREKTUR UTAMA,True
MGRO,Usli,DIREKTUR UTAMA,True
MICE,Anthony Honoris,DIREKTUR UTAMA,True
MIDI,Rullyanto,PRESIDEN DIREKTUR,False
MIKA,RUSTIYAN OEN,DIREKTUR UTAMA,True
MINA,Ifiandiaz Naszir,DIREKTUR UTAMA,False
MIRA,WIRAWAN HALIM,DIREKTUR UTAMA,True
MITI,SUGI HANDOKO,PRESIDEN DIREKTUR,True
MKNT,Jefri Junaedi,DIREKTUR UTAMA,False
MKPI,Ir. Husin Widjajakusuma ,PRESIDEN DIREKTUR,True
MLBI,Sandra Asher Pattenden,DIREKTUR,True
MLIA,Eka Tjandranegara,DIREKTUR UTAMA,False
MLPL,Adrian Suherman,PRESIDEN DIREKTUR,True
MLPT,Wahyudi Chandra,PRESIDEN DIREKTUR,True
MMLP,BONNY BUDI SETIAWAN,DIREKTUR UTAMA,False
MNCN,David Fernando Audy,DIREKTUR UTAMA,True
MOLI,"Adikin Basirun, SE",DIREKTUR UTAMA,True
MPMX,Suwito Mawarwati,DIREKTUR UTAMA,True
MPOW,Kang Jimmi,DIREKTUR UTAMA,False
MPPA,Adrian Suherman,PRESIDEN DIREKTUR,True
MPRO,RAYMOND,DIREKTUR UTAMA,False
MRAT,Ir. Bingar Egidius Situmorang,PRESIDEN DIREKTUR,False
MREI,YANTO JAYADI WIBISONO,PRESIDEN DIREKTUR,True
MSIN,Ella Kartika,DIREKTUR UTAMA,True
MSKY,Ade Tjendra,DIREKTUR UTAMA,True
MTDL,Agus Honggo Widodo,DIREKTUR,True
MTFN,Abas Soeriawidjaja,DIREKTUR UTAMA,False
MTLA,Thomas Johnnes Angfendy,PRESIDEN DIREKTUR,True
MTPS,Kahar Anwar,DIREKTUR UTAMA,True
MTRA,Bisman Novel Maraden Firdaus Simatupang,DIREKTUR UTAMA,True
MTSM,Rose Merry Maruli,PRESIDEN DIREKTUR,True
MTWI,Vientje Harijanto,DIREKTUR UTAMA,True
MYOH,Baek Weon Son,PRESIDEN DIREKTUR,True
MYOR,Andre Sukendra Atmadja,DIREKTUR UTAMA,True
MYRX,Benny Tjokrosaputro,DIREKTUR UTAMA,True
MYTX,Deepak Anand,PRESIDEN DIREKTUR,True
NASA,Erwin Kusnadi,DIREKTUR UTAMA,False
NATO,Gede Putu Adnawa,DIREKTUR UTAMA,False
NELY,HUSNI HERON,DIREKTUR UTAMA,True
NFCX,Abraham Theofilus,DIREKTUR UTAMA,True
NICK,Anton Santoso,DIREKTUR UTAMA,False
NIKL,Jetrinaldi,DIREKTUR UTAMA,True
NIPS,Jackson Tandiono,DIREKTUR UTAMA,False
NIRO,oekarman Wiraatmadja Kusnadi,DIREKTUR UTAMA,False
NISP,Parwati Surjaudaja,PRESIDEN DIREKTUR,True
NOBU,Suhaimin Djohan,DIREKTUR UTAMA,False
NRCA,Hadiwinarto Christanto,DIREKTUR UTAMA,True
NUSA,"Ir. Iwandono, MM",DIREKTUR UTAMA,False
NZIA,Novrizal Setyawan,DIREKTUR UTAMA,True
OASA,Ir. Freddy Santoso,DIREKTUR UTAMA,True
OCAP,Bagus Hananto,DIREKTUR UTAMA,True
OKAS,Rolaw P Samosir,DIREKTUR UTAMA,True
OMRE,Husni Ali,PRESIDEN DIREKTUR,True
OPMS,Meilyna Widjaja,DIREKTUR UTAMA,True
PADI,Djoko Joelijanto,DIREKTUR UTAMA,True
PALM,Tri Boewono,PRESIDEN DIREKTUR,False
PAMG,Christopher Sumasto Tjia,DIREKTUR UTAMA,True
PANI,Prilli Budi Pasravita Soetantyo,DIREKTUR UTAMA,True
PANR,Budijanto Tirtawisata,DIREKTUR UTAMA,True
PANS,Indra Christanto,PRESIDEN DIREKTUR,True
PBID,Djonny Taslim,DIREKTUR UTAMA,True
PBRX,Ludijanto Setijo,DIREKTUR UTAMA,True
PBSA,Yonggi Tanuwidjaja,DIREKTUR UTAMA,True
PCAR,Raditya Wardhana,DIREKTUR UTAMA,False
PDES,Hie Luang Kiauw,DIREKTUR UTAMA,True
PEGE,Justy Intan,DIREKTUR UTAMA,False
PEHA,Hadi Kardoko,DIREKTUR UTAMA,True
PGAS,Suko Hartono,DIREKTUR UTAMA,True
PGJO,Adi Putera Widjaja ,DIREKTUR UTAMA,False
PGLI,Nicholas Spassky Hutapea,PRESIDEN DIREKTUR,True
PGUN,Indra Irawan,DIREKTUR UTAMA,False
PICO,KO DANDY,DIREKTUR UTAMA,False
PJAA,Teuku Sahir Syahali,DIREKTUR UTAMA,True
PKPK,Soerjadi Soedarsono,DIREKTUR UTAMA,False
PLAS,Ario Purboyo,DIREKTUR UTAMA,True
PLIN,Rosano Barack,DIREKTUR UTAMA,False
PMJS,Fritz Gunawan,DIREKTUR UTAMA,True
PNBN,Herwidayatmo,PRESIDEN DIREKTUR,False
PNBS,Bratha,DIREKTUR UTAMA,False
PNGO,Bambang Palgoenadi,DIREKTUR UTAMA,False
PNIN,Paulus Indra Intan,PRESIDEN DIREKTUR,True
PNLF,Lianna Loren Limanto,PRESIDEN DIREKTUR,False
PNSE,Kristian Pudjiadi,DIREKTUR UTAMA,False
POLA,Mujoko Yandri Panjaitan,DIREKTUR UTAMA,True
POLI,RM Suryo Atmanto,DIREKTUR UTAMA,True
POLL,RM Suryo Atmanto,DIREKTUR UTAMA,True
POLU,Lie Iwan Aliwayana,DIREKTUR UTAMA,True
POLY,Vasudevan Ravi Shankar,DIREKTUR UTAMA,True
POOL,Evi Firmansyah,DIREKTUR UTAMA,False
PORT,Paul Krisnadi,DIREKTUR UTAMA,True
POSA,Gracianus Johardy Lambert,DIREKTUR UTAMA,True
POWR,Andrew Kukkutahlie Labbaika,DIREKTUR UTAMA,True
PPGL,Darmawan Suryadi SM,DIREKTUR UTAMA,True
PPRE,Rully Noviandar,DIREKTUR UTAMA,True
PPRO,Taufik Hidayat,DIREKTUR UTAMA,True
PRAS,DJOKO SUTRISNO,PRESIDEN DIREKTUR,False
PRDA,Dewi Muliaty,DIREKTUR UTAMA,False
PRIM,"Tommy Leonard, SH, M.Kn",DIREKTUR UTAMA,False
PSAB,Edi Permadi,DIREKTUR UTAMA,True
PSDN,Drs. Jeffry Sanusi Soedargo,PRESIDEN DIREKTUR,False
PSGO,Budiono Tanbun,DIREKTUR UTAMA,True
PSKT,SUWITO,DIREKTUR UTAMA,True
PSSI,Iriawan Ibarat,DIREKTUR UTAMA,True
PTBA,Arviyan Arifin ,DIREKTUR UTAMA,True
PTIS,Tan Kim Leng,DIREKTUR UTAMA,False
PTPP,Novel Arsyad,DIREKTUR UTAMA,False
PTPW,"Dr. Andreas Widhatama Kurniawan, ST, M.Sc",DIREKTUR UTAMA,True
PTRO,Hanifa Indradjaya,PRESIDEN DIREKTUR,True
PTSN,Abidin Fan,DIREKTUR UTAMA,True
PTSP,Henkie Sutjiewan,DIREKTUR,False
PUDP,"Damian Pudjiadi, MBA",DIREKTUR UTAMA,True
PURA,Ariel Wibisono,DIREKTUR UTAMA,True
PURE,"Petrus Tjandra, MBA",DIREKTUR UTAMA,True
PURI,Eko Saputro Wijaya,DIREKTUR UTAMA,True
PWON,A. Stefanus Ridwan Suhendra,PRESIDEN DIREKTUR,False
PYFA,dr. Paulus Widjanarko Brotosaputro,DIREKTUR,True
PZZA,Steven Christopher Lee,DIREKTUR UTAMA,True
RAJA,Djauhar Maulidi,DIREKTUR UTAMA,True
RALS,Agus Makmur,DIREKTUR UTAMA,True
RANC,Meshvara Kanjaya,DIREKTUR UTAMA,True
RBMS,Deddy Indrasetiawan,DIREKTUR UTAMA,True
RDTX,WIRIADY WIDJAJA,DIREKTUR UTAMA,True
REAL,Aulia Firdaus,DIREKTUR UTAMA,True
RELI,Sriwidjaja,PRESIDEN DIREKTUR,False
RICY,PAULUS GUNAWAN,DIREKTUR UTAMA,True
RIGS,Mastura Binti Mansor,PRESIDEN DIREKTUR,True
RIMO,Teddy Tjokrosapoetro,DIREKTUR UTAMA,False
RISE,Belinda Natalia,DIREKTUR UTAMA,True
RMBA,Steven Gerald Pore,PRESIDEN DIREKTUR,True
ROCK,Po Wiwiek Purnomo,DIREKTUR UTAMA,True
RODA,Sicilia Alexander Setiawan,DIREKTUR,True
RONY,Jang Rony Yuwono,DIREKTUR UTAMA,False
ROTI,Wendy Sui Cheng Yap,PRESIDEN DIREKTUR,False
RUIS,SOFWAN FARISYI,DIREKTUR UTAMA,True
SAFE,John Pieter Sembiring,DIREKTUR UTAMA,False
SAME,"dr. Maria Theresia Yulita, MARS, MSM",PRESIDEN DIREKTUR,True
SAMF,Ir. Yahya Taufik,DIREKTUR UTAMA,True
SAPX,Budiyanto Darmastono,PRESIDEN DIREKTUR,True
SATU,Johan Prasetyo Santoso,DIREKTUR UTAMA,True
SBAT,Jefri Junaedi,DIREKTUR UTAMA,True
SCCO,Bayu Adiwijaya Soepono,PRESIDEN DIREKTUR,False
SCMA,Sutanto Hartono,DIREKTUR UTAMA,True
SCNP,Hendrik Nursalim,DIREKTUR UTAMA,False
SCPI,George Boshra Zaki Demian,DIREKTUR UTAMA,True
SDMU,Tjoe Mien Sasminto,DIREKTUR UTAMA,True
SDPC,AHMAD BIN ABU BAKAR,DIREKTUR UTAMA,True
SDRA,Choi Jung Hoon,PRESIDEN DIREKTUR,False
SFAN,Hary Herdiyanto,DIREKTUR UTAMA,True
SGER,Welly Thomas,DIREKTUR UTAMA,True
SGRO,Budi Setiawan Halim,DIREKTUR UTAMA,False
SHID,"Dr.Ir.H.HARIYADI B.SUKAMDANI, MM",DIREKTUR UTAMA,True
SHIP,Herjati,DIREKTUR UTAMA,False
SIDO,David Hidayat,DIREKTUR UTAMA,True
SILO,Ketut Budi Wijaya,PRESIDEN DIREKTUR,True
SIMA,"Ifiandiaz Nazir, SH",DIREKTUR UTAMA,False
SIMP,Mark Julian Wakeford,DIREKTUR UTAMA,False
SINI,Erick Tonny Tjandra,DIREKTUR UTAMA,True
SIPD,TOMY WATTEMENA WIDJAJA,DIREKTUR UTAMA,True
SKLT,Oei Harry Sunogo,PRESIDEN DIREKTUR,True
SKRN,Yafin Tandiono Tan,DIREKTUR UTAMA,True
SKYB,Wahyu Mulyana,DIREKTUR UTAMA,False
SLIS,Edi Hanafiah Kwanto,DIREKTUR UTAMA,True
SMAR,Jo Daud Dharsono,DIREKTUR UTAMA,True
SMBR,JOBI TRIANANDA HASJIM,DIREKTUR UTAMA,True
SMCB,Aulia Mulki Oemar,PRESIDEN DIREKTUR,True
SMDM,Kenneth Lian,PRESIDEN DIREKTUR,True
SMDR,Bani Maulana Mulia,DIREKTUR UTAMA,True
SMGR,Hendi Prio Santoso,DIREKTUR UTAMA,True
SMKL,Ang Kinardo,DIREKTUR UTAMA,False
SMMA,Doddy Susanto,DIREKTUR UTAMA,True
SMMT,Roza Permana Putra,DIREKTUR UTAMA,True
SMRA,Ir. Adrianto Pitoyo Adhi,DIREKTUR UTAMA,True
SMRU,Jokky Wahyoedi Hidayat,DIREKTUR UTAMA,False
SMSM,Eddy Hartono,DIREKTUR UTAMA,False
SOCI,Go Darmadi,DIREKTUR UTAMA,False
SOFA,Hardy Satya,DIREKTUR UTAMA,True
SOHO,Rogelio Paulino Jr. Castillo La O,PRESIDEN DIREKTUR,False
SONA,Ir. Wong Budi Setiawan,PRESIDEN DIREKTUR,True
SOSS,Herman Julianto,DIREKTUR UTAMA,True
SOTS,STEVANO RIZKI ADRANACUS,DIREKTUR UTAMA,True
SPMA,Welly,PRESIDEN DIREKTUR,True
SPOT,Harish Adrian Riyanto ,DIREKTUR UTAMA,True
SPTO,Tjahjono Alim ,PRESIDEN DIREKTUR,False
SQMI,Oktavia Budi Raharjo,DIREKTUR UTAMA,True
SRAJ,Grace Dewi Riady,DIREKTUR UTAMA,True
SRIL,Iwan Setiawan Lukminto,DIREKTUR UTAMA,True
SRSN,BUDHI MOELJONO,PRESIDEN DIREKTUR,True
SRTG,Michael W.P. Soeryadjaya,PRESIDEN DIREKTUR,True
SSIA,Johannes Suriadjaja,PRESIDEN DIREKTUR,True
SSMS,Ramzi Sastra,DIREKTUR,True
SSTM,Purnawan Suriadi,DIREKTUR UTAMA,True
STAR,Asep Mulyana,DIREKTUR UTAMA,True
STTP,Agus Suhartanto,DIREKTUR UTAMA,False
SUDI,Drs. Heru Subagio,DIREKTUR UTAMA,True
SUGI,Abhaya Bhushan Chatterjee,DIREKTUR UTAMA,False
SULI,Amir Sunarko,PRESIDEN DIREKTUR,True
SUPR,Nobel Tanihaha,DIREKTUR UTAMA,True
SURE,AGUSTUS SANI NUGROHO,DIREKTUR UTAMA,True
SWAT,SHIO ALIM SUSANTO,DIREKTUR UTAMA,True
TAMA,Alex Widjaja,DIREKTUR UTAMA,True
TAMU,Kardja Rahardjo,DIREKTUR UTAMA,True
TARA,Dedi Djajasastra,DIREKTUR UTAMA,False
TAXI,Johannes B.E.Triatmojo,DIREKTUR UTAMA,True
TBIG,Herman Setya Budi,PRESIDEN DIREKTUR,True
TBLA,Widarto,PRESIDEN DIREKTUR,True
TBMS,SATOSHI TOSAKA,PRESIDEN DIREKTUR,False
TCID,Masahiro Ueda,PRESIDEN DIREKTUR,True
TCPI,Dirc Richard Talumewo,DIREKTUR UTAMA,True
TDPM,Choi Choon Ha,PRESIDEN DIREKTUR,False
TEBE,Dian Heryandi,DIREKTUR UTAMA,True
TECH,Billy Andrian,DIREKTUR UTAMA,False
TELE,TAN LIE PIN,DIREKTUR UTAMA,False
TFAS,Jody Hedrian,DIREKTUR UTAMA,True
TFCO,Anton Wiratama,PRESIDEN DIREKTUR,True
TGKA,Lianne Widjaja,PRESIDEN DIREKTUR,False
TGRA,Djani Sutedja,DIREKTUR UTAMA,True
TIFA,Bernard Thien Ted Nam,PRESIDEN DIREKTUR,False
TINS,M Riza Pahlevi Tabrani,DIREKTUR UTAMA,False
TIRA,Selo Winardi,DIREKTUR UTAMA,True
TIRT,Djohan Surja Putra,PRESIDEN DIREKTUR,True
TKIM,Suhendra Wiriadinata,DIREKTUR UTAMA,True
TLKM,Ririek Adriansyah,DIREKTUR UTAMA,True
TMAS,Sutikno Khusumo,DIREKTUR UTAMA,True
TMPO,Toriq Hadad,DIREKTUR UTAMA,True
TNCA,Arifin Seman,DIREKTUR UTAMA,True
TOBA,Justarina S.M Naiborhu,DIREKTUR UTAMA,True
TOPS,Donald Sihombing,DIREKTUR UTAMA,True
TOTL,Janti Komadjaja,PRESIDEN DIREKTUR,False
TOTO,HANAFI ATMADIREDJA,PRESIDEN DIREKTUR,True
TOWR,Ferdinandus Aming Santoso,DIREKTUR UTAMA,True
TOYS,Iwan Tirtha ,DIREKTUR UTAMA,True
TPIA,Erwin Ciputra,PRESIDEN DIREKTUR,True
TPMA,Ronny Kurniawan,DIREKTUR UTAMA,False
TRAM,Soebianto Hidayat,DIREKTUR UTAMA,False
TRIL,Lukas Maulana Jusuf,DIREKTUR UTAMA,True
TRIM,Syafriandi Armand Saleh,DIREKTUR,True
TRIN,Stanley Setiadi,DIREKTUR,True
TRIO,Sugiono Wiyono Sugialam,PRESIDEN DIREKTUR,False
TRIS,Santoso Widjojo,DIREKTUR UTAMA,False
TRJA,Lexi Roland Rompas,DIREKTUR UTAMA,False
TRST,Sugeng Kurniawan,DIREKTUR UTAMA,True
TRUK,Budi Gunawan,DIREKTUR UTAMA,True
TRUS,SUPARMAN SULINA,DIREKTUR UTAMA,False
TSPC,Diana Wirawan,PRESIDEN DIREKTUR,True
TUGU,Indra Baruna,PRESIDEN DIREKTUR,True
TURI,Rico Adisurja Setiawan,DIREKTUR UTAMA,True
UANG,Johan Yudhya Santosa,DIREKTUR UTAMA,True
UCID,Yuji Ishii,DIREKTUR UTAMA,False
ULTJ,Sabana Prawirawidjaja,PRESIDEN DIREKTUR,True
UNIC,Yani Alifen,PRESIDEN DIREKTUR,False
UNIT,Prianto Paseru,DIREKTUR UTAMA,False
UNSP,Bayu Irianto,DIREKTUR UTAMA,False
UNTR,Frans Kesuma,PRESIDEN DIREKTUR,True
UNVR,Hemant Bakshi,PRESIDEN DIREKTUR,True
URBN,Bambang Sumargono,DIREKTUR UTAMA,True
VICO,Aldo Jusuf Tjahaja,DIREKTUR UTAMA,True
VINS,Suwandi Suharto,DIREKTUR UTAMA,False
VIVA,Anindya Novyan Bakrie,PRESIDEN DIREKTUR,True
VOKS,David Lius,DIREKTUR UTAMA,True
VRNA,Konosuke Mizuta,DIREKTUR UTAMA,True
WAPO,ARTHA LOVIE A,DIREKTUR UTAMA,True
WEGE,NARIMAN PRASETYO,DIREKTUR UTAMA,True
WEHA,ANGRETA CHANDRA,DIREKTUR UTAMA,True
WICO,Tay Lim Pin,PRESIDEN DIREKTUR,True
WIIM,Ronald Walla,DIREKTUR UTAMA,True
WIKA,AGUNG BUDI WASKITO,DIREKTUR UTAMA,True
WINS,Sugiman Layanto,DIREKTUR UTAMA,True
WOMF,Djaja Suryanto Sutandar,PRESIDEN DIREKTUR,True
WOOD,Halim Rusli,DIREKTUR UTAMA,True
WOWS,Jimmy Hidayat,DIREKTUR UTAMA,True
WSBP,Jarot Subana,DIREKTUR UTAMA,False
WSKT,Destiawan Soewardjono,DIREKTUR UTAMA,True
WTON,Hadian Pramudita,DIREKTUR UTAMA,True
YELO,Wewy Suwanto,DIREKTUR UTAMA,True
YPAS,JAP IRWAN SUSANTO,DIREKTUR UTAMA,False
YULE,Vera Marlinata Widjaya,DIREKTUR UTAMA,False
ZADI,David Jerry Fike,DIREKTUR UTAMA,True
ZBRA,"Drs. H. Mulyadi, MM",DIREKTUR UTAMA,True
ZINC,Harjanto Widjaja,DIREKTUR UTAMA,False
ZONE,FRANXISCUS AFAT ADINATA NURSALIM,DIREKTUR UTAMA,True
